query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_288,60000,run_3,4-cpus,5886774,7,10.529296875 kb,379.2525315284729 sec
query_288,60000000,run_3,4-cpus,5886774,7,11.173828125 kb,380.08073711395264 sec
query_289,60000,run_1,4-cpus,1119076,1,0.015625 kb,39.08256220817566 sec
query_289,60000000,run_1,4-cpus,1119076,1,0.015625 kb,38.954020738601685 sec
query_289,60000,run_2,4-cpus,1119076,1,0.015625 kb,38.72856259346008 sec
query_289,60000000,run_2,4-cpus,1119076,1,0.015625 kb,38.73035717010498 sec
query_289,60000,run_3,4-cpus,1119076,1,0.015625 kb,38.88422870635986 sec
query_289,60000000,run_3,4-cpus,1119076,1,0.015625 kb,38.602328300476074 sec
query_435,60000,run_1,4-cpus,2828922,3,2.326171875 kb,179.808007478714 sec
query_435,60000000,run_1,4-cpus,2828922,3,2.310546875 kb,178.45000052452087 sec
query_435,60000,run_2,4-cpus,2828922,3,2.455078125 kb,177.37369918823242 sec
query_435,60000000,run_2,4-cpus,2828922,3,2.767578125 kb,178.01074385643005 sec
query_435,60000,run_3,4-cpus,2828922,3,2.603515625 kb,178.52903246879578 sec
query_435,60000000,run_3,4-cpus,2828922,3,2.291015625 kb,178.90622067451477 sec
query_646,60000,run_1,4-cpus,8,109,176.73046875 kb,6489.898862361908 sec
query_646,60000000,run_1,4-cpus,8,110,177.4501953125 kb,6589.57107925415 sec
query_646,60000,run_2,4-cpus,8,112,182.1591796875 kb,6709.915644168854 sec
query_646,60000000,run_2,4-cpus,8,113,183.921875 kb,6754.63454246521 sec
query_646,60000,run_3,4-cpus,8,110,178.6845703125 kb,6575.550182104111 sec
query_646,60000000,run_3,4-cpus,8,111,179.455078125 kb,6627.209525346756 sec
query_17,60000,run_1,4-cpus,65,7,14.181640625 kb,367.55282521247864 sec
query_17,60000000,run_1,4-cpus,65,7,14.451171875 kb,361.10685658454895 sec
query_17,60000,run_2,4-cpus,65,6,11.0947265625 kb,356.68735933303833 sec
query_17,60000000,run_2,4-cpus,65,7,14.310546875 kb,362.41227531433105 sec
query_17,60000,run_3,4-cpus,65,7,13.947265625 kb,362.1588337421417 sec
query_17,60000000,run_3,4-cpus,65,7,12.982421875 kb,361.0437824726105 sec
query_468,60000,run_1,4-cpus,2556498,4,4.6279296875 kb,243.9784801006317 sec
query_468,60000000,run_1,4-cpus,2556498,4,4.6435546875 kb,237.95449090003967 sec
query_468,60000,run_2,4-cpus,2556498,4,4.7646484375 kb,241.32784724235535 sec
query_468,60000000,run_2,4-cpus,2556498,4,4.9287109375 kb,239.38980793952942 sec
query_468,60000,run_3,4-cpus,2556498,4,5.4482421875 kb,239.9854335784912 sec
query_468,60000000,run_3,4-cpus,2556498,4,5.2763671875 kb,239.52234554290771 sec
query_596,60000,run_1,4-cpus,2467611,3,2.505859375 kb,150.91019225120544 sec
query_596,60000000,run_1,4-cpus,2467611,3,2.826171875 kb,151.2923777103424 sec
query_596,60000,run_2,4-cpus,2467611,3,3.142578125 kb,151.86171865463257 sec
query_596,60000000,run_2,4-cpus,2467611,3,2.826171875 kb,151.15981531143188 sec
query_596,60000,run_3,4-cpus,2467611,3,2.818359375 kb,152.68336510658264 sec
query_596,60000000,run_3,4-cpus,2467611,3,2.986328125 kb,150.92899203300476 sec
query_631,60000,run_1,4-cpus,2550797,2,0.8994140625 kb,81.75185370445251 sec
query_631,60000000,run_1,4-cpus,2550797,2,0.8994140625 kb,81.44395327568054 sec
query_631,60000,run_2,4-cpus,2550797,2,0.7783203125 kb,83.61945748329163 sec
query_631,60000000,run_2,4-cpus,2550797,2,0.7783203125 kb,82.55087852478027 sec
query_631,60000,run_3,4-cpus,2550797,2,0.7783203125 kb,81.6179747581482 sec
query_631,60000000,run_3,4-cpus,2550797,2,0.7783203125 kb,82.66040563583374 sec
query_358,60000,run_1,4-cpus,109,10,20.5009765625 kb,549.0564625263214 sec
query_358,60000000,run_1,4-cpus,109,10,20.5087890625 kb,545.0468475818634 sec
query_358,60000,run_2,4-cpus,109,10,20.5009765625 kb,544.4916036128998 sec
query_358,60000000,run_2,4-cpus,109,9,18.19921875 kb,532.797349691391 sec
query_358,60000,run_3,4-cpus,109,10,20.5009765625 kb,541.1356890201569 sec
query_358,60000000,run_3,4-cpus,109,10,20.5087890625 kb,545.47784948349 sec
query_146,60000,run_1,4-cpus,5523263,3,1.373046875 kb,156.89303708076477 sec
query_146,60000000,run_1,4-cpus,5523263,3,1.384765625 kb,155.01760172843933 sec
query_146,60000,run_2,4-cpus,5523263,3,1.623046875 kb,156.80190896987915 sec
query_146,60000000,run_2,4-cpus,5523263,3,1.623046875 kb,158.91162538528442 sec
query_146,60000,run_3,4-cpus,5523263,3,1.505859375 kb,155.56265711784363 sec
query_146,60000000,run_3,4-cpus,5523263,3,1.494140625 kb,158.00610446929932 sec
query_469,60000,run_1,4-cpus,7369922,4,2.3154296875 kb,247.7555706501007 sec
query_469,60000000,run_1,4-cpus,7369922,5,3.12890625 kb,254.71046090126038 sec
query_469,60000,run_2,4-cpus,7369922,5,3.01171875 kb,252.73132157325745 sec
query_469,60000000,run_2,4-cpus,7369922,5,3.12109375 kb,254.99487113952637 sec
query_469,60000,run_3,4-cpus,7369922,5,2.77734375 kb,258.6769497394562 sec
query_469,60000000,run_3,4-cpus,7369922,5,2.78125 kb,254.5916929244995 sec
query_514,60000,run_1,4-cpus,1904750,4,5.2099609375 kb,207.10824036598206 sec
query_514,60000000,run_1,4-cpus,1904750,4,4.9130859375 kb,205.33869004249573 sec
query_514,60000,run_2,4-cpus,1904750,4,5.1513671875 kb,207.20374298095703 sec
query_514,60000000,run_2,4-cpus,1904750,4,4.7138671875 kb,204.88309502601624 sec
query_514,60000,run_3,4-cpus,1904750,4,4.5927734375 kb,203.76521968841553 sec
query_514,60000000,run_3,4-cpus,1904750,4,5.0927734375 kb,203.36166143417358 sec
query_447,60000,run_1,4-cpus,1363233,1,0.015625 kb,45.81977367401123 sec
query_447,60000000,run_1,4-cpus,1363233,1,0.015625 kb,44.6199676990509 sec
query_447,60000,run_2,4-cpus,1363233,1,0.015625 kb,45.46185564994812 sec
query_447,60000000,run_2,4-cpus,1363233,1,0.015625 kb,46.45318126678467 sec
query_447,60000,run_3,4-cpus,1363233,1,0.015625 kb,44.990018129348755 sec
query_447,60000000,run_3,4-cpus,1363233,1,0.015625 kb,45.05159306526184 sec
query_379,60000,run_1,4-cpus,349943,1,0.015625 kb,23.996763467788696 sec
query_379,60000000,run_1,4-cpus,349943,1,0.015625 kb,24.067984104156494 sec
query_379,60000,run_2,4-cpus,349943,1,0.015625 kb,23.956745147705078 sec
query_379,60000000,run_2,4-cpus,349943,1,0.015625 kb,24.028565883636475 sec
query_379,60000,run_3,4-cpus,349943,1,0.015625 kb,24.844938039779663 sec
query_379,60000000,run_3,4-cpus,349943,1,0.015625 kb,23.89360809326172 sec
query_425,60000,run_1,4-cpus,1041231,3,6.923828125 kb,150.8670871257782 sec
query_425,60000000,run_1,4-cpus,1041231,3,6.947265625 kb,149.65742588043213 sec
query_425,60000,run_2,4-cpus,1041231,3,6.638671875 kb,149.71970677375793 sec
query_425,60000000,run_2,4-cpus,1041231,3,6.267578125 kb,149.517231464386 sec
query_425,60000,run_3,4-cpus,1041231,3,5.623046875 kb,148.69992637634277 sec
query_425,60000000,run_3,4-cpus,1041231,3,7.162109375 kb,152.1879267692566 sec
query_355,60000,run_1,4-cpus,546090,7,6.369140625 kb,388.73248767852783 sec
query_355,60000000,run_1,4-cpus,546090,7,6.369140625 kb,389.33843421936035 sec
query_355,60000,run_2,4-cpus,546090,7,6.365234375 kb,390.1555082798004 sec
query_355,60000000,run_2,4-cpus,546090,7,6.361328125 kb,390.5617277622223 sec
query_355,60000,run_3,4-cpus,546090,7,6.447265625 kb,396.8229341506958 sec
query_355,60000000,run_3,4-cpus,546090,7,6.369140625 kb,388.5102789402008 sec
