query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_321,60000,run_2,1-cpus,1671043,7,72.392578125 kb,381.7916991710663 sec
query_321,60000000,run_2,1-cpus,1671043,7,58.912109375 kb,386.3294599056244 sec
query_321,60000,run_3,1-cpus,1671043,7,76.513671875 kb,388.4900131225586 sec
query_321,60000000,run_3,1-cpus,1671043,7,65.306640625 kb,383.5236568450928 sec
query_42,60000,run_1,1-cpus,709175,1,0.015625 kb,39.418646574020386 sec
query_42,60000000,run_1,1-cpus,709175,1,0.015625 kb,38.684993267059326 sec
query_42,60000,run_2,1-cpus,709175,1,0.015625 kb,38.6431679725647 sec
query_42,60000000,run_2,1-cpus,709175,1,0.015625 kb,38.899635553359985 sec
query_42,60000,run_3,1-cpus,709175,1,0.015625 kb,38.55056595802307 sec
query_42,60000000,run_3,1-cpus,709175,1,0.015625 kb,38.82868218421936 sec
query_226,60000,run_1,1-cpus,1783600,4,5.8505859375 kb,216.45052528381348 sec
query_226,60000000,run_1,1-cpus,1783600,4,5.3935546875 kb,216.61890602111816 sec
query_226,60000,run_2,1-cpus,1783600,4,6.4287109375 kb,215.23743796348572 sec
query_226,60000000,run_2,1-cpus,1783600,4,5.7021484375 kb,216.54297924041748 sec
query_226,60000,run_3,1-cpus,1783600,4,5.7802734375 kb,216.7866086959839 sec
query_226,60000000,run_3,1-cpus,1783600,4,6.1083984375 kb,216.71262407302856 sec
